"player" "position" "appearance" "goals" "year" "team"
"Gift Motupa" "Midfielder" 2 0 "2016" "south-africa"
"Ramahlwe Mphahlele" "Defender" 1 0 "2016" "south-africa"
"Anele Ngcongca" "Defender/Midfielder" 4 0 "2016" "south-africa"
"Siyabonga Nhlapho" "Midfielder" 0 1 "2016" "south-africa"
"Prince Nxumalo" "Forward" 0 1 "2016" "south-africa"
"Ayanda Patosi" "Forward" 1 0 "2016" "south-africa"
"Lebogang Phiri" "Midfielder" 3 0 "2016" "south-africa"
"Reyaad Pieterse" "Goalkeeper" 3 0 "2016" "south-africa"
"Tokelo Rantie" "Forward" 5 0 "2016" "south-africa"
"Mbhazima Rikhotso" "Defender" 1 0 "2016" "south-africa"
"Thulani Serero" "Midfielder" 5 2 "2016" "south-africa"
"Jabulani Vusumuzi Shongwe" "Midfielder" 1 0 "2016" "south-africa"
"Thembela Sikhakhane" "Defender" 2 0 "2016" "south-africa"
"William Twala" "Midfielder" 0 1 "2016" "south-africa"
"Sibusiso Vilakazi" "Midfielder" 1 2 "2016" "south-africa"
"Bongani Zungu" "Midfielder" 3 1 "2016" "south-africa"
"Keagan Doli" "Midfielder" 1 0 "2017" "south-africa"
"Dean Furman" "Midfielder" 2 1 "2017" "south-africa"
"Thamsanqa Aubrey Gabuza" "Forward" 1 1 "2017" "south-africa"
"Thulani Hlatshwayo" "Defender" 3 0 "2017" "south-africa"
"Andile Jali" "Midfielder" 1 0 "2017" "south-africa"
"Hlompho Kekana" "Defender" 2 0 "2017" "south-africa"
"Itumeleng Khune" "Goalkeeper" 2 0 "2017" "south-africa"
"Tebogo Langerman" "Defender" 1 0 "2017" "south-africa"
"Jackson Mabokgwane" "Goalkeeper" 0 1 "2017" "south-africa"
"May Mahlangu" "Midfielder" 1 1 "2017" "south-africa"
"Mpho Makola" "Midfielder" 2 1 "2017" "south-africa"
"Oupa Matthews Manyisa" "Midfielder" 1 1 "2017" "south-africa"
"Erick Mathoho" "Defender" 1 0 "2017" "south-africa"
"Thabo Matlaba" "Defender" 2 0 "2017" "south-africa"
"Benson Mhlongo" "Midfielder" 1 0 "2017" "south-africa"
"Thobani Mncwango" "Forward" 0 1 "2017" "south-africa"
"Abbubaker Mobara" "Defender" 2 1 "2017" "south-africa"
"Maphosa Modiba" "Defender" 1 0 "2017" "south-africa"
"Gift Motupa" "Midfielder" 0 1 "2017" "south-africa"
"Ramahlwe Mphahlele" "Defender" 2 1 "2017" "south-africa"
"Isaac Nhlapo" "Defender" 1 0 "2017" "south-africa"
"Ayanda Patosi" "Forward" 1 0 "2017" "south-africa"
"Tokelo Rantie" "Forward" 0 1 "2017" "south-africa"
"Eleazar Rodgers" "Forward" 2 0 "2017" "south-africa"
"Thulani Serero" "Midfielder" 1 1 "2017" "south-africa"
"Sibusiso Vilakazi" "Midfielder" 2 0 "2017" "south-africa"
"Aritz Aduriz" "Forward" 3 5 "2016" "spain"
"Jordi Alba" "Defender/Midfielder" 10 3 "2016" "spain"
"Paco Alcacer" "Forward" 3 4 "2016" "spain"
"Sergio Asenjo" "Goalkeeper" 1 0 "2016" "spain"
"Marco Asensio" "Midfielder" 1 0 "2016" "spain"
"Cesar Azpilicueta" "Defender/Midfielder" 4 2 "2016" "spain"
"Marc Bartra" "Defender" 5 0 "2016" "spain"
"Hector Bellerin" "Defender" 2 1 "2016" "spain"
"Juan Bernat" "Midfielder" 1 1 "2016" "spain"
"Bruno Soriano" "Midfielder" 2 2 "2016" "spain"
"Sergio  Busquets" "Midfielder" 10 2 "2016" "spain"
"Daniel Carvajal" "Defender" 1 0 "2016" "spain"
"Iker Casillas" "Goalkeeper" 6 0 "2016" "spain"
"David De Gea" "Goalkeeper" 8 0 "2016" "spain"
"Diego Costa" "Forward" 3 0 "2016" "spain"
"Cesc Fabregas" "Midfielder" 13 1 "2016" "spain"
"Pablo Fornals" "Midfielder" 0 1 "2016" "spain"
"Andres Iniesta" "Midfielder" 7 2 "2016" "spain"
"Isco" "Midfielder/Forward" 2 3 "2016" "spain"
"Juanfran" "Midfielder" 9 0 "2016" "spain"
"Koke" "Midfielder" 1 6 "2016" "spain"
"Diego Llorente" "Defender" 0 1 "2016" "spain"
"Mario" "Defender" 3 0 "2016" "spain"
"Juan Mata" "Midfielder" 2 4 "2016" "spain"
"Alvaro Morata" "Forward" 8 1 "2016" "spain"
"Nacho" "Defender" 1 2 "2016" "spain"
"Nolito" "Forward" 9 2 "2016" "spain"
"Mikel Oiarzabal" "Midfielder" 0 1 "2016" "spain"
"Pedro" "Midfielder" 4 6 "2016" "spain"
"Gerard Pique" "Defender" 13 0 "2016" "spain"
"Sergio Ramos" "Defender" 9 0 "2016" "spain"
"Sergio Rico" "Goalkeeper" 0 1 "2016" "spain"
"Sergi Roberto" "Midfielder" 1 0 "2016" "spain"
"Mikel San Jose" "Defender/Midfielder" 3 1 "2016" "spain"
"Santi Cazorla" "Midfielder" 3 2 "2016" "spain"
"David Silva" "Midfielder" 11 2 "2016" "spain"
"Denis Suarez" "Midfielder" 0 1 "2016" "spain"
"Thiago Alcantara" "Forward" 4 3 "2016" "spain"
"Lucas Vazquez" "Midfielder" 1 1 "2016" "spain"
"Vitolo" "Midfielder" 0 1 "2016" "spain"
"Inaki Williams" "Forward" 0 1 "2016" "spain"
"Xabier Etxeita Gorritxategi" "Defender" 1 0 "2016" "spain"
"Jordi Alba" "Defender/Midfielder" 3 0 "2017" "spain"
"Marco Asensio" "Midfielder" 0 1 "2017" "spain"
"Cesar Azpilicueta" "Defender/Midfielder" 0 1 "2017" "spain"
"Marc Bartra" "Defender" 0 1 "2017" "spain"
"Sergio  Busquets" "Midfielder" 4 0 "2017" "spain"
"Daniel Carvajal" "Defender" 2 0 "2017" "spain"
"David De Gea" "Goalkeeper" 4 0 "2017" "spain"
"Diego Costa" "Forward" 3 1 "2017" "spain"
"Andres Iniesta" "Midfielder" 2 0 "2017" "spain"
"Inigo Martinez" "Defender" 0 1 "2017" "spain"
"Isco" "Midfielder/Forward" 0 1 "2017" "spain"
"Koke" "Midfielder" 4 0 "2017" "spain"
"Nacho Monreal" "Defender" 1 0 "2017" "spain"
"Alvaro Morata" "Forward" 1 2 "2017" "spain"
"Nacho" "Defender" 0 1 "2017" "spain"
"Nolito" "Forward" 0 2 "2017" "spain"
"Gerard Pique" "Defender" 4 0 "2017" "spain"
"Sergio Ramos" "Defender" 4 0 "2017" "spain"
"Sergi Roberto" "Midfielder" 1 1 "2017" "spain"
"Saul" "Defender/Midfielder" 0 1 "2017" "spain"
"David Silva" "Midfielder" 4 0 "2017" "spain"
"Thiago Alcantara" "Forward" 3 1 "2017" "spain"
"Lucas Vazquez" "Midfielder" 0 1 "2017" "spain"
"Vitolo" "Midfielder" 4 0 "2017" "spain"
"Mikael Antonsson" "Defender" 5 0 "2016" "sweden"
"Ludwig Augustinsson" "Defender" 1 1 "2016" "sweden"
"Nicklas Barkroth" "Midfielder" 0 1 "2016" "sweden"
"Pierre Bengtsson" "Midfielder" 2 0 "2016" "sweden"
"Marcus Berg" "Forward" 9 2 "2016" "sweden"
"Emil Bergstrom" "Defender" 1 0 "2016" "sweden"
"Viktor Claesson" "Midfielder/Forward" 1 0 "2016" "sweden"
"Jimmy Durmaz" "Midfielder" 6 4 "2016" "sweden"
"Albin Ekdal" "Midfielder" 6 2 "2016" "sweden"
"Gustav Engvall" "Forward" 0 1 "2016" "sweden"
"Sebastian Eriksson" "Midfielder" 0 1 "2016" "sweden"
"Erkan Zengin" "Midfielder" 4 2 "2016" "sweden"
"Emil Forsberg" "Forward" 10 1 "2016" "sweden"
"Alexander Fransson" "Midfielder" 1 0 "2016" "sweden"
"Andreas Granqvist" "Defender/Centre back" 13 0 "2016" "sweden"
"John Guidetti" "Forward" 4 6 "2016" "sweden"
"Melker Hallberg" "Midfielder" 0 1 "2016" "sweden"
"Oscar Hiljemark" "Midfielder" 1 3 "2016" "sweden"
"Sebastian Holmén" "Defender" 1 0 "2016" "sweden"
"Zlatan Ibrahimovi?" "Forward" 11 0 "2016" "sweden"
"Andreas Isaksson" "Goalkeeper" 12 0 "2016" "sweden"
"Mikael Ishak" "Forward" 0 1 "2016" "sweden"
"Pontus Jansson" "Defender" 0 1 "2016" "sweden"
"Erik Johansson" "Defender" 4 2 "2016" "sweden"
"Karl-Johan Johnsson" "Goalkeeper" 1 0 "2016" "sweden"
"Kim Kallstrom" "Midfielder" 11 0 "2016" "sweden"
"Abdullah Khalili" "Midfielder" 0 1 "2016" "sweden"
"Pa Konate" "Defender" 0 1 "2016" "sweden"
"Emir Kujovic" "Forward" 1 2 "2016" "sweden"
"Seb Larsson" "Defender/Midfielder" 9 4 "2016" "sweden"
"Oscar Lewicki" "Midfielder" 6 2 "2016" "sweden"
"Victor Lindelof" "Defender" 6 0 "2016" "sweden"
"Adam Lundqvist" "Defender" 1 0 "2016" "sweden"
"Mikael Lustig" "Defender" 8 1 "2016" "sweden"
"Alexander Milosevic" "Defender" 0 1 "2016" "sweden"
"Kerim Mrabti" "Midfielder" 0 1 "2016" "sweden"
"Joakim Nilsson" "Defender" 0 1 "2016" "sweden"
"Christoffer Nyman" "Forward" 1 0 "2016" "sweden"
"Robin Olsen" "Goalkeeper" 1 1 "2016" "sweden"
"Martin Olsson" "Defender/Midfielder" 10 1 "2016" "sweden"
"Marcus Rohdén" "Midfielder" 1 1 "2016" "sweden"
"Emil Salomonsson" "Defender" 1 1 "2016" "sweden"
"Gustav Svensson" "Defender" 1 2 "2016" "sweden"
"Isaac Kiese Thelin" "Forward" 1 2 "2016" "sweden"
"Anton Tinnerholm" "Defender" 1 1 "2016" "sweden"
"Ola Toivonen" "Forward" 0 2 "2016" "sweden"
"Linus Wahlqvist" "Defender" 0 1 "2016" "sweden"
"Pontus Wernbloom" "Midfielder/Forward" 2 2 "2016" "sweden"
"Ludwig Augustinsson" "Defender" 0 1 "2017" "sweden"
"Marcus Berg" "Forward" 3 0 "2017" "sweden"
"Jimmy Durmaz" "Midfielder" 2 1 "2017" "sweden"
"Albin Ekdal" "Midfielder" 2 0 "2017" "sweden"
"Emil Forsberg" "Forward" 3 0 "2017" "sweden"
"Alexander Fransson" "Midfielder" 1 1 "2017" "sweden"
"Andreas Granqvist" "Defender/Centre back" 3 0 "2017" "sweden"
"John Guidetti" "Forward" 2 1 "2017" "sweden"
"Oscar Hiljemark" "Midfielder" 3 0 "2017" "sweden"
"Emil Krafth" "Defender" 1 0 "2017" "sweden"
"Emir Kujovic" "Forward" 0 1 "2017" "sweden"
"Victor Lindelof" "Defender" 3 0 "2017" "sweden"
"Mikael Lustig" "Defender" 2 0 "2017" "sweden"
"Christoffer Nyman" "Forward" 0 2 "2017" "sweden"
"Robin Olsen" "Goalkeeper" 3 0 "2017" "sweden"
"Martin Olsson" "Defender/Midfielder" 2 0 "2017" "sweden"
"Marcus Rohdén" "Midfielder" 1 0 "2017" "sweden"
"Ola Toivonen" "Forward" 1 1 "2017" "sweden"
"Oscar Wendt" "Defender" 1 1 "2017" "sweden"
"Valon Behrami" "Defender/Midfielder" 10 1 "2016" "switzerland"
"Roman Burki" "Goalkeeper" 3 0 "2016" "switzerland"
"Eren Derdiyok" "Forward" 4 3 "2016" "switzerland"
"Johann Djourou" "Defender/Centre back" 9 0 "2016" "switzerland"
"Josip Drmic" "Forward" 3 2 "2016" "switzerland"
"Blerim Dzemaili" "Midfielder" 9 1 "2016" "switzerland"
"Nico Elvedi" "Defender" 0 1 "2016" "switzerland"
"Breel Embolo" "Forward" 4 7 "2016" "switzerland"
"Fabian Frei" "Midfielder" 0 2 "2016" "switzerland"
"Gelson Fernandes" "Midfielder" 4 10 "2016" "switzerland"
"Gokhan Inler" "Midfielder" 5 0 "2016" "switzerland"
"Marwin Hitz" "Goalkeeper" 1 0 "2016" "switzerland"
"Pajtim Kasami" "Midfielder" 3 2 "2016" "switzerland"
"Timm Klose" "Defender" 4 1 "2016" "switzerland"
"Michael Lang" "Defender" 4 6 "2016" "switzerland"
"Stefan Lichtsteiner" "Defender" 10 0 "2016" "switzerland"
"Fabian Lustenberger" "Midfielder" 1 1 "2016" "switzerland"
"Admir Mehmedi" "Forward" 11 2 "2016" "switzerland"
"Francois Moubandje" "Defender" 3 4 "2016" "switzerland"
"Ricardo Rodriguez" "Defender/Midfielder" 11 0 "2016" "switzerland"
"Fabian Schar" "Defender" 11 0 "2016" "switzerland"
"Haris Seferovic" "Forward" 7 4 "2016" "switzerland"
"Philippe Senderos" "Defender/Centre back" 2 0 "2016" "switzerland"
"Xherdan Shaqiri" "Midfielder/Forward" 11 0 "2016" "switzerland"
"Yann Sommer" "Goalkeeper" 10 0 "2016" "switzerland"
"Renato Steffen" "Midfielder" 1 3 "2016" "switzerland"
"Valentin Stocker" "Midfielder" 2 2 "2016" "switzerland"
"Shani Tarashaj" "Forward" 0 5 "2016" "switzerland"
"Steve Von Bergen" "Defender" 1 0 "2016" "switzerland"
"Silvan Widmer" "Defender" 0 3 "2016" "switzerland"
"Granit Xhaka" "Midfielder" 11 0 "2016" "switzerland"
"Denis Zakaria" "Midfielder" 0 2 "2016" "switzerland"
"Luca Zuffi" "Midfielder" 1 3 "2016" "switzerland"
"Valon Behrami" "Defender/Midfielder" 2 0 "2017" "switzerland"
"Roman Burki" "Goalkeeper" 1 0 "2017" "switzerland"
"Eren Derdiyok" "Forward" 0 2 "2017" "switzerland"
"Johann Djourou" "Defender/Centre back" 1 0 "2017" "switzerland"
"Blerim Dzemaili" "Midfielder" 2 0 "2017" "switzerland"
"Nico Elvedi" "Defender" 1 1 "2017" "switzerland"
"Breel Embolo" "Forward" 3 0 "2017" "switzerland"
"Gelson Fernandes" "Midfielder" 2 4 "2017" "switzerland"
"Timm Klose" "Defender" 1 0 "2017" "switzerland"
"Michael Lang" "Defender" 1 0 "2017" "switzerland"
"Stefan Lichtsteiner" "Defender" 2 0 "2017" "switzerland"
"Admir Mehmedi" "Forward" 3 0 "2017" "switzerland"
"Ricardo Rodriguez" "Defender/Midfielder" 3 0 "2017" "switzerland"
"Fabian Schar" "Defender" 3 0 "2017" "switzerland"
"Haris Seferovic" "Forward" 3 0 "2017" "switzerland"
"Xherdan Shaqiri" "Midfielder/Forward" 2 0 "2017" "switzerland"
"Yann Sommer" "Goalkeeper" 2 0 "2017" "switzerland"
"Valentin Stocker" "Midfielder" 0 2 "2017" "switzerland"
"Silvan Widmer" "Defender" 0 1 "2017" "switzerland"
"Granit Xhaka" "Midfielder" 2 0 "2017" "switzerland"
"Denis Zakaria" "Midfielder" 0 1 "2017" "switzerland"
"Radanfah Abu Bakr" "Defender" 5 1 "2016" "trinidad-and-tobago"
"Aikim Andrews" "Midfielder" 0 1 "2016" "trinidad-and-tobago"
"Sheldon Bateau" "Defender" 6 0 "2016" "trinidad-and-tobago"
"Andre Boucaud" "Midfielder" 7 2 "2016" "trinidad-and-tobago"
"Trevin Caesar" "Forward" 1 3 "2016" "trinidad-and-tobago"
"Cordell Cato" "Midfielder" 1 1 "2016" "trinidad-and-tobago"
"Keron Cummings" "Midfielder" 3 1 "2016" "trinidad-and-tobago"
"Daneil Cyrus" "Defender" 6 2 "2016" "trinidad-and-tobago"
"Aubrey David" "Defender" 6 1 "2016" "trinidad-and-tobago"
"Sean de Silva" "Midfielder" 2 1 "2016" "trinidad-and-tobago"
"Andre Etienne" "Defender" 0 2 "2016" "trinidad-and-tobago"
"Adrian Foncette" "Goalkeeper" 1 1 "2016" "trinidad-and-tobago"
"Levi Garcia" "Forward" 3 1 "2016" "trinidad-and-tobago"
"Kevan George" "Midfielder" 2 2 "2016" "trinidad-and-tobago"
"Jonathan Glenn" "Forward" 1 1 "2016" "trinidad-and-tobago"
"Curtis Gonzales" "Defender" 0 2 "2016" "trinidad-and-tobago"
"Neveal Hackshaw" "Midfielder" 0 3 "2016" "trinidad-and-tobago"
"Hughton Hector" "Midfielder" 1 1 "2016" "trinidad-and-tobago"
"Tristan Hodge" "Defender" 1 1 "2016" "trinidad-and-tobago"
"Gavin Hoyte" "Defender" 1 0 "2016" "trinidad-and-tobago"
"Justin Hoyte" "Defender/Midfielder" 2 1 "2016" "trinidad-and-tobago"
"Khaleem Hyland" "Midfielder" 8 0 "2016" "trinidad-and-tobago"
"Weslie John" "Defender" 2 0 "2016" "trinidad-and-tobago"
"Alvin Jones" "Defender" 1 0 "2016" "trinidad-and-tobago"
"Joevin Jones" "Midfielder" 6 0 "2016" "trinidad-and-tobago"
"Kenwyne Jones" "Forward" 6 0 "2016" "trinidad-and-tobago"
"Marcus Joseph" "Midfielder" 1 2 "2016" "trinidad-and-tobago"
"Makesi Lewis" "Forward" 0 2 "2016" "trinidad-and-tobago"
"Nathan Lewis" "Midfielder" 2 0 "2016" "trinidad-and-tobago"
"Yohance Marshall" "Defender" 3 0 "2016" "trinidad-and-tobago"
"Kevin Molino" "Midfielder" 2 0 "2016" "trinidad-and-tobago"
"Leston Paul" "Midfielder" 1 1 "2016" "trinidad-and-tobago"
"Lester Peltier" "Midfielder" 1 0 "2016" "trinidad-and-tobago"
"Marvin Phillip" "Goalkeeper" 5 0 "2016" "trinidad-and-tobago"
"Willis Plaza" "Forward" 1 4 "2016" "trinidad-and-tobago"
"Glenroy Samuel" "Goalkeeper" 0 1 "2016" "trinidad-and-tobago"
"Jan-Michael Williams" "Goalkeeper" 3 0 "2016" "trinidad-and-tobago"
"Jomal Williams" "Midfielder" 2 1 "2016" "trinidad-and-tobago"
"Mekeil Williams" "Defender" 4 1 "2016" "trinidad-and-tobago"
"Shahdon Winchester" "Forward" 2 1 "2016" "trinidad-and-tobago"
"Radanfah Abu Bakr" "Defender" 1 0 "2017" "trinidad-and-tobago"
"Sheldon Bateau" "Defender" 1 0 "2017" "trinidad-and-tobago"
"Andre Boucaud" "Midfielder" 2 0 "2017" "trinidad-and-tobago"
"Trevin Caesar" "Forward" 0 1 "2017" "trinidad-and-tobago"
"Cordell Cato" "Midfielder" 1 0 "2017" "trinidad-and-tobago"
"Daneil Cyrus" "Defender" 1 0 "2017" "trinidad-and-tobago"
"Aubrey David" "Defender" 1 0 "2017" "trinidad-and-tobago"
"Levi Garcia" "Forward" 1 1 "2017" "trinidad-and-tobago"
"Kevan George" "Midfielder" 0 2 "2017" "trinidad-and-tobago"
"Khaleem Hyland" "Midfielder" 2 0 "2017" "trinidad-and-tobago"
"Alvin Jones" "Defender" 1 0 "2017" "trinidad-and-tobago"
"Joevin Jones" "Midfielder" 1 0 "2017" "trinidad-and-tobago"
"Kenwyne Jones" "Forward" 1 0 "2017" "trinidad-and-tobago"
"Carlyle Mitchell" "Defender" 2 0 "2017" "trinidad-and-tobago"
"Kevin Molino" "Midfielder" 2 0 "2017" "trinidad-and-tobago"
"Marvin Phillip" "Goalkeeper" 2 0 "2017" "trinidad-and-tobago"
"Jomal Williams" "Midfielder" 0 1 "2017" "trinidad-and-tobago"
"Mekeil Williams" "Defender" 2 0 "2017" "trinidad-and-tobago"
"Shahdon Winchester" "Forward" 0 1 "2017" "trinidad-and-tobago"
"Aymen Abdennour" "Defender" 3 0 "2016" "tunisia"
"Ahmed Akaichi" "Forward" 2 0 "2016" "tunisia"
"Mohamed Ali Yacoubi" "Midfielder" 1 0 "2016" "tunisia"
"Karim Aouadhi" "Midfielder" 2 0 "2016" "tunisia"
"Larry Azouni" "Midfielder" 0 2 "2016" "tunisia"
"Anice Badri" "Midfielder" 0 1 "2016" "tunisia"
"Rami Bedoui" "Defender" 1 0 "2016" "tunisia"
"Mohamed Amine Ben Amor" "Midfielder" 2 1 "2016" "tunisia"
"Selim Ben Djemia" "Defender" 1 0 "2016" "tunisia"
"Fakhredine Ben Youssef" "Forward" 0 1 "2016" "tunisia"
"Syam Ben Youssef" "Defender" 5 0 "2016" "tunisia"
"Saad Bguir" "Midfielder" 0 1 "2016" "tunisia"
"Zied Boughattas" "Defender" 1 0 "2016" "tunisia"
"Alaya Brigui" "Defender" 1 0 "2016" "tunisia"
"Mohamed Amine Chermiti" "Forward" 1 0 "2016" "tunisia"
"Yacine Chikhaoui" "Forward" 3 0 "2016" "tunisia"
"Zied Derbali" "Defender" 0 1 "2016" "tunisia"
"Oussama Hadadi" "Defender" 0 1 "2016" "tunisia"
"Maher Hannachi" "Forward" 0 1 "2016" "tunisia"
"Hamdi Harbaoui" "Forward" 1 0 "2016" "tunisia"
"Ammar Jemal" "Defender" 2 0 "2016" "tunisia"
"Rami Jridi" "Goalkeeper" 1 1 "2016" "tunisia"
"Wahbi Khazri" "Forward" 3 0 "2016" "tunisia"
"Taha Yassine Khenissi" "Forward" 2 1 "2016" "tunisia"
"Hamza Lahmar" "Midfielder" 2 0 "2016" "tunisia"
"Mohamed Larbi" "Forward" 2 0 "2016" "tunisia"
"Ali Maaloul" "Defender" 5 0 "2016" "tunisia"
"Mohamed Ali Manser" "Midfielder" 3 1 "2016" "tunisia"
"Aymen Mathlouthi" "Goalkeeper" 5 0 "2016" "tunisia"
"Hamza Mathlouthi" "Forward" 4 0 "2016" "tunisia"
"Yassine Meriah" "Midfielder" 1 0 "2016" "tunisia"
"Bilel Mohsni" "Defender/Midfielder/Forward" 1 0 "2016" "tunisia"
"Youssef Msakni" "Midfielder" 2 1 "2016" "tunisia"
"Hamdi Naguez" "Defender" 1 0 "2016" "tunisia"
"Houcine Ragued" "Midfielder" 1 0 "2016" "tunisia"
"Khalifa Saber" "Forward" 1 0 "2016" "tunisia"
"Jamel Saihi" "Midfielder" 1 0 "2016" "tunisia"
"Ferjani Sassi" "Midfielder" 4 1 "2016" "tunisia"
"Naim Sliti" "Midfielder" 1 0 "2016" "tunisia"
"Yoann Touzghar" "Forward" 0 1 "2016" "tunisia"
"Aymen Abdennour" "Defender" 2 0 "2017" "tunisia"
"Ahmed Akaichi" "Forward" 0 1 "2017" "tunisia"
"Mohamed Ali Yacoubi" "Midfielder" 0 1 "2017" "tunisia"
"Mohamed Amine Ben Amor" "Midfielder" 2 0 "2017" "tunisia"
"Issam Ben Khemis" "Midfielder" 0 1 "2017" "tunisia"
"Syam Ben Youssef" "Defender" 1 0 "2017" "tunisia"
"Anis Ben-Hatira" "Midfielder" 0 1 "2017" "tunisia"
"Saad Bguir" "Midfielder" 1 0 "2017" "tunisia"
"Chamseddine Dhaouadi" "Defender" 1 0 "2017" "tunisia"
"Hamdi Harbaoui" "Forward" 1 0 "2017" "tunisia"
"Wahbi Khazri" "Forward" 2 0 "2017" "tunisia"
"Taha Yassine Khenissi" "Forward" 1 0 "2017" "tunisia"
"Hamza Lahmar" "Midfielder" 2 0 "2017" "tunisia"
"Ali Maaloul" "Defender" 2 0 "2017" "tunisia"
"Aymen Mathlouthi" "Goalkeeper" 2 0 "2017" "tunisia"
"Bilel Mohsni" "Defender/Midfielder/Forward" 2 0 "2017" "tunisia"
"Hamdi Naguez" "Defender" 2 0 "2017" "tunisia"
"Abdelkader Oueslati" "Midfielder/Forward" 1 0 "2017" "tunisia"
"Khalifa Saber" "Forward" 0 1 "2017" "tunisia"
"Ferjani Sassi" "Midfielder" 0 1 "2017" "tunisia"
"Ahmet Calik" "Defender" 2 1 "2016" "turkey"
"Ahmet Ilhan Ozek" "Midfielder" 1 0 "2016" "turkey"
"Alper Potuk" "Midfielder" 0 4 "2016" "turkey"
"Arda Turan" "Midfielder" 13 0 "2016" "turkey"
"Atinc Nukan" "Defender" 1 0 "2016" "turkey"
"Burak Yilmaz" "Forward" 5 2 "2016" "turkey"
"Caglar Soyuncu" "Defender" 0 1 "2016" "turkey"
"Caner Erkin" "Midfielder" 11 0 "2016" "turkey"
"Cenk Tosun" "Forward" 8 2 "2016" "turkey"
"Emre Colak" "Midfielder" 0 1 "2016" "turkey"
"Emre Mor" "Midfielder" 1 3 "2016" "turkey"
"Gokhan Gonul" "Defender" 8 1 "2016" "turkey"
"Gokhan Tore" "Midfielder" 1 2 "2016" "turkey"
"Hakan Balta" "Midfielder" 10 0 "2016" "turkey"
"Hakan Calhanoglu" "Midfielder" 12 0 "2016" "turkey"
"Ismail Koybasi" "Defender" 2 5 "2016" "turkey"
"Kerim Frei" "Midfielder" 0 1 "2016" "turkey"
"Mahmut Tekdemir" "Defender" 0 1 "2016" "turkey"
"Mehmet Topal" "Midfielder" 10 3 "2016" "turkey"
"Mevlut Erdinc" "Forward" 0 1 "2016" "turkey"
"Nuri Sahin" "Midfielder" 0 4 "2016" "turkey"
"Oguzhan Ozyakup" "Midfielder" 12 1 "2016" "turkey"
"Okay Yokuslu" "Midfielder" 0 1 "2016" "turkey"
"Olcay Sahan" "Midfielder" 1 7 "2016" "turkey"
"Ozan Tufan" "Defender" 14 0 "2016" "turkey"
"Selcuk Inan" "Midfielder" 11 0 "2016" "turkey"
"Senar Ozbayrakli" "Defender" 5 2 "2016" "turkey"
"Serdar Aziz" "Defender" 5 0 "2016" "turkey"
"Emre Tasdemir" "Defender" 1 1 "2016" "turkey"
"Umut Bulut" "Forward" 0 2 "2016" "turkey"
"Volkan Babacan" "Goalkeeper" 14 0 "2016" "turkey"
"Volkan Sen" "Midfielder" 6 5 "2016" "turkey"
"Yasin Oztekin" "Midfielder" 0 4 "2016" "turkey"
"Yunus Malli" "Midfielder" 0 7 "2016" "turkey"
"Ahmet Calik" "Defender" 0 2 "2017" "turkey"
"Caglar Soyuncu" "Defender" 1 0 "2017" "turkey"
"Caner Erkin" "Midfielder" 2 0 "2017" "turkey"
"Cenk Tosun" "Forward" 3 1 "2017" "turkey"
"Emre Mor" "Midfielder" 4 0 "2017" "turkey"
"Enes Unal" "Forward" 1 1 "2017" "turkey"
"Hakan Balta" "Midfielder" 1 0 "2017" "turkey"
"Hakan Calhanoglu" "Midfielder" 4 0 "2017" "turkey"
"Hasan Ali Kaldirim" "Defender" 0 1 "2017" "turkey"
"Ismail Koybasi" "Defender" 2 0 "2017" "turkey"
"Kaan Ayhan" "Defender/Midfielder" 2 2 "2017" "turkey"
"Mehmet Topal" "Midfielder" 4 0 "2017" "turkey"
"Mevlut Erdinc" "Forward" 0 1 "2017" "turkey"
"Okay Yokuslu" "Midfielder" 1 1 "2017" "turkey"
"Olcay Sahan" "Midfielder" 0 1 "2017" "turkey"
"Omer Toprak" "Defender" 2 0 "2017" "turkey"
"Ozan Tufan" "Defender" 4 0 "2017" "turkey"
"Senar Ozbayrakli" "Defender" 4 0 "2017" "turkey"
"Serdar Aziz" "Defender" 2 0 "2017" "turkey"
"Tolga Cigerci" "Midfielder" 0 2 "2017" "turkey"
"Volkan Babacan" "Goalkeeper" 4 0 "2017" "turkey"
"Volkan Sen" "Midfielder" 2 2 "2017" "turkey"
"Yasin Oztekin" "Midfielder" 1 0 "2017" "turkey"
"Yunus Malli" "Midfielder" 0 1 "2017" "turkey"
"Denys Boyko" "Goalkeeper" 1 0 "2016" "ukraine"
"Bohdan Butko" "Defender" 1 2 "2016" "ukraine"
"Artem Fedetskyi" "Defender" 13 0 "2016" "ukraine"
"Denys Garmash" "Midfielder" 6 3 "2016" "ukraine"
"Oleksandr Gladkiy" "Forward" 0 2 "2016" "ukraine"
"Oleg Husyev" "Midfielder" 1 1 "2016" "ukraine"
"Mykyta Kamenyuka" "Midfielder" 0 1 "2016" "ukraine"
"Olexsandr Karavaev" "Midfielder" 0 3 "2016" "ukraine"
"Yevhen Khacheridi" "Defender" 12 0 "2016" "ukraine"
"Yevhen Konoplyanka" "Midfielder" 12 0 "2016" "ukraine"
"Viktor Kovalenko" "Midfielder" 3 3 "2016" "ukraine"
"Artem Kravets" "Forward" 4 4 "2016" "ukraine"
"Oleksandr Kucher" "Defender" 4 2 "2016" "ukraine"
"Ruslan Malinovskyi" "Midfielder" 0 2 "2016" "ukraine"
"Maksym Malyshev" "Defender" 0 1 "2016" "ukraine"
