id,name
937,Ronaldo II
938,Stefan Auer
939,David Harding
940,Sami Yia-Jussila
941,Bertil Backvall
942,Waldir Saenz
943,Mark Liveric
944,Ammar Abuseleisel
945,Fredy Mendez Rios
946,Karim El Ahmadi
947,Saul De Mata
948,Amankwa Mireku
949,Otto Brandli
950,Fettah Rhiati
951,Jacob Mulenga
952,Alvaro Jose Jimenez
953,Li Meng
954,Igor Kolyvanov
955,Leonid Ostrovski
956,Aldo Bobadilla
957,Assen Karaslavov
958,Mark Dodd
959,Dante
960,Vladimir Firm
961,Daniel Piric
962,Luis Rivas
963,Mehdi Meniri
964,Pedro Zuazu
965,Eisaa Abdulla
966,Duilio Davino
967,Sergei Shavlo
968,Charles Toube
969,Harold Gough
970,Rocael Mazariegos
971,Aldo Cevenini
972,Youssef Heraoui
973,Hector Becerra
974,Yaser Kasim
975,Yousif Al Ja'azeh
976,Gert Verheyen
977,Bruno Cesar
978,Roger Alvarez Sanchez
979,Moahemd Ramadhan
980,Kurt Armbruster
981,Youssef En Nesyri
982,Fahd Al Hrifi
983,Horst Eckel
984,Pedro Munguia Munguia
985,Sebastien Frey
986,Nikola Beljic
987,Helmut Ropnack
988,Razvan Paduretu
989,Nyiro
990,Dietmar Hamann
991,Carlos Humberto Recinos
992,Maurice Depaepe
993,Yusuf Amer Alsaadi
994,J Pacot
995,Henri Guerre
996,Ronald Waterreus
997,Fadil Megharia
998,Barry Hunter
999,M Rodriguez
1000,Jorge H Howard
1001,Gorgonio Ibarrola
1002,Vlad Ion Munteanu
1003,Viktor Shustikov
1004,Chaker Zouaghi
1005,Aleksandar Kosoric
1006,Celino Mora
1007,Athanasios Dimopoulos
1008,Jorge Gibson Brown
1009,Jan Olsson II
1010,Haukur Heidar Hauksson
1011,John McDonald
1012,Tommy Holmgren
1013,Viliam Jakubcik
1014,Jackie Carr
1015,Castor Sixto Cantero
1016,Dan D'Angelo
1017,Franco Di Joriofor
1018,Peter Schottel
1019,C Gonzalez Pajvelo
1020,Lucas Martin Castroman
1021,Cesareo Victorino Ramirez
1022,Mehmet Aurelio
1023,Adam Nagy
1024,PANG Gwang-Chol
1025,PANG Gwang-Choi
1026,Pio Ferraris
1027,Petur Haflidi Marteinssonfor
1028,Sven-Gunnar Larsson
1029,Darwin Andrade
1030,Andrija Ankovic
1031,Mohamed Al Jarni
1032,Armen Adamyan
1033,Tzapfo
1034,Abul Ezz
1035,Itzak Drucker
1036,Mokhtar Benmoussa
1037,Erlingur Kristjansson
1038,Michael Oppenheim
1039,Joseph Cyrille Ndo
1040,Victor Eduardo Mendoza
1041,Vasil Tinchev
1042,Cecilio De Los Santos
1043,Frits Kuipers
1044,Evald Andersson
1045,Alfonso Montemayor Crespo
1046,Jonas Slyzius
1047,Carlos Javier MacAllister
1048,Mario Alberto Coll
1049,Saul
1050,Fattah
1051,Alf Stamp
1052,Mohammed Sahraoui
1053,Saui
1054,Dimitar Dimov
1055,Jorge Alfredo Vasquez
1056,Luis Gregorio Gallo
1057,Rolando Marciano Chilavert
1058,F Cassan
1059,Lassana Diarra
1060,Ariza Makukula
1061,Eamonn Gregg
1062,Pierre Chayrigues
1063,Ali Abdulwahab
1064,John Burke
1065,Bongani Zungu
1066,Ricardo Verduguez
1067,Bjarni Geir Vidarsson
1068,Hugh Brown
1069,Darren Paterson
1070,KIM Im-Sang
1071,S Gharib
1072,Abdul Razak Khadempeer
1073,Cardel Benbow
1074,Paul Wyss
1075,YEO Beom-Kyu
1076,Henrikh Mkhitaryan
1077,Atanas Aleksandrov
