id,home_team_id,away_team_id,location_id,match_type,competition,winning_team_id,home_team_score,away_team_score,match_date
9592,78,62,2394,,International Friendly,62,1,5,1881-03-14
9593,62,78,2408,,International Friendly,62,5,0,1882-03-25
9594,78,62,2394,,International Friendly,62,0,3,1883-03-12
9595,62,78,1232,,British Championships,62,4,1,1884-03-29
9596,78,62,2394,,British Championships,62,1,8,1885-03-23
9597,62,78,1794,,British Championships,62,4,1,1886-04-10
9598,78,62,2394,,British Championships,62,0,2,1887-03-21
9599,62,78,380,,British Championships,62,5,1,1888-03-10
9600,78,62,2394,,British Championships,,0,0,1889-04-15
9601,62,78,832,,British Championships,62,5,0,1890-03-22
9602,78,62,2394,,British Championships,62,3,4,1891-03-21
9603,62,78,383,,British Championships,62,6,1,1892-03-26
9604,78,62,2394,,British Championships,62,0,8,1893-03-18
9605,62,78,653,,British Championships,62,5,2,1894-03-24
9606,78,62,2394,,British Championships,,2,2,1895-03-23
9607,62,78,1422,,British Championships,62,4,0,1896-03-21
9608,78,62,2394,,British Championships,,2,2,1897-03-20
9609,62,78,845,,British Championships,62,5,2,1898-03-19
9610,78,62,2394,,British Championships,62,0,6,1899-03-18
9611,62,78,1221,,British Championships,62,5,2,1900-02-03
9612,78,62,2394,,British Championships,,1,1,1901-03-02
9613,62,78,297,,British Championships,62,5,1,1902-03-15
9614,78,62,2181,,British Championships,62,0,1,1903-03-09
9615,62,78,238,,British Championships,,1,1,1904-03-12
9616,78,62,2394,,British Championships,78,3,1,1905-03-06
9617,62,78,383,,British Championships,78,0,2,1906-03-03
9618,78,62,2394,,British Championships,78,1,0,1907-03-04
9619,62,78,238,,British Championships,62,2,1,1908-03-07
9620,78,62,2394,,British Championships,78,3,2,1909-03-01
9621,62,78,653,,British Championships,62,1,0,1910-03-05
9622,78,62,240,,British Championships,,2,2,1911-03-06
9623,62,78,383,,British Championships,62,1,0,1912-03-02
9624,78,62,2394,,British Championships,,0,0,1913-03-03
9625,62,78,332,,British Championships,,0,0,1914-02-28
9626,78,62,240,,British Championships,,1,1,1920-02-26
9627,62,78,1221,,British Championships,62,2,1,1921-02-12
9628,78,62,2394,,British Championships,78,2,1,1922-02-04
9629,62,78,1929,,British Championships,62,2,0,1923-03-17
9630,78,62,240,,British Championships,78,2,0,1924-02-16
9631,62,78,383,,British Championships,62,3,1,1925-02-14
9632,78,62,240,,British Championships,62,0,3,1925-10-31
9633,62,78,516,,British Championships,62,3,0,1926-10-30
9634,78,62,2394,,British Championships,,2,2,1927-10-29
9635,62,78,516,,British Championships,62,4,2,1928-10-27
9636,78,62,240,,British Championships,62,2,4,1929-10-26
9637,62,78,516,,British Championships,,1,1,1930-10-25
9638,78,62,2394,,British Championships,62,2,3,1931-10-31
9639,62,78,383,,International Friendly,78,2,5,1932-10-26
9640,78,62,240,,British Championships,78,3,2,1933-10-04
9641,62,78,1221,,British Championships,62,3,2,1934-11-21
9642,78,62,240,,British Championships,,1,1,1935-10-05
9643,78,62,240,,British Championships,78,2,1,1937-10-30
9644,62,78,383,,British Championships,62,3,2,1938-11-09
9645,78,62,2394,,British Championships,78,3,1,1946-10-19
9646,78,62,240,,British Championships,62,1,3,1948-10-23
9647,62,78,1193,,FIFA World Cup,62,2,0,1949-11-09
9648,78,62,240,,British Championships,62,1,3,1950-10-21
9649,62,78,1193,,British Championships,78,0,1,1951-11-14
9650,78,62,240,,British Championships,62,1,2,1952-10-18
9651,62,78,1193,,FIFA World Cup,,3,3,1953-11-04
9652,62,78,1193,,British Championships,62,2,0,1955-11-09
9653,78,62,240,,British Championships,,2,2,1956-10-20
9654,62,78,1193,,British Championships,,1,1,1957-11-13
9655,78,62,240,,British Championships,62,0,3,1958-10-18
9656,62,78,1193,,British Championships,,1,1,1959-11-04
9657,78,62,240,,British Championships,78,2,0,1960-10-22
9658,62,78,1193,,British Championships,62,2,0,1961-11-08
9659,62,78,1193,,British Championships,,0,0,1970-04-22
9660,78,62,240,,British Championships,,0,0,1971-05-15
9661,62,78,1193,,British Championships,62,1,0,1972-05-24
9662,78,62,2394,,British Championships,62,0,2,1973-05-12
9663,62,78,1193,,British Championships,62,2,0,1974-05-14
9664,78,62,240,,British Championships,,2,2,1975-05-17
9665,62,78,1193,,British Championships,62,3,1,1976-05-06
9666,62,78,1193,,FIFA World Cup,62,1,0,1976-11-17
9667,78,62,2394,,British Championships,,0,0,1977-05-28
9668,78,62,2189,,FIFA World Cup,62,0,2,1977-10-12
9669,62,78,1193,,British Championships,,1,1,1978-05-17
9670,62,78,1193,,British Championships,62,1,0,1982-05-24
9671,62,78,1193,,British Championships,62,2,1,1984-02-28
9672,78,62,240,,FIFA World Cup,,1,1,1985-09-10
9673,62,78,653,,International Friendly,78,0,1,1997-05-27
9674,62,79,1140,,Independence,,2,2,1972-06-29
9675,62,79,1323,,FIFA World Cup,,1,1,1974-06-22
9676,9,64,1365,,Merdeka Tournament,9,1,0,2001-06-21
9677,17,64,1460,,International Friendly,17,4,0,1999-11-25
9678,64,28,1669,,A v B,64,4,1,2000-04-25
9679,64,61,578,,International Friendly,,1,1,2000-05-24
